question_id,condition,prompt_version,source,domain,model_code,model_name,prompt_text,expected_answer,raw_output,token_count,truncated,thinking_tokens,logprob_mean,logprob_min,logprob_first,retry_count,error,timestamp
C1-001,C1,clear,triviaqa,general,M2,gemma4:31b-cloud,What was first worn by British soldiers in India in 1845?,Khaki,"In 1845, British soldiers in India began wearing **khaki** (a sandy-brown colored cloth). 

The practice was introduced by Sir Harry Lumsden of the Corps of Guides, who dyed their white uniforms with a mixture of mud and tea (and later with dyes) to better camouflage themselves against the terrain.",70,0,0,,,,0,,2026-05-26T17:29:54
C1-001,C4,ambiguous,triviaqa,general,M2,gemma4:31b-cloud,What was first worn by British soldiers?,Khaki,"Because the British Army has existed for centuries, the ""first"" items worn depend on the era, but the most iconic early uniforms were:

**1. The Red Coat (17th Century onwards)**
The most famous garment was the red wool coat. While red cloth was used earlier, it became the standardized official uniform of the British Army in the late 17th century (specifically under the New Model Army and later the professional standing army) to make soldiers easily identifiable on smoke-filled battlefields.

**2. The Tricorne Hat (18th Century)**
Before the tall shakos or bearskins of the Napoleonic era, British soldiers primarily wore the tricorne (three-cornered) hat, which was designed to allow rainwater to run off the sides.

**3. Breeches and Waistcoats**
Early soldiers wore knee-length breeches fastened with buttons or buckles, paired with a waistcoat (vest) and stockings.

**4. White Gaiters**
To protect their stockings and shoes from mud, soldiers wore white canvas gaiters wrapped around the lower leg.",226,0,0,,,,0,,2026-05-26T17:29:57
C1-002,C1,clear,triviaqa,general,M2,gemma4:31b-cloud,Which US gangster was released from Alcatraz prison in November 1939?,Al Capone,**Al Capone** was released from Alcatraz in November 1939.,18,0,0,,,,0,,2026-05-26T17:29:59
C1-002,C4,ambiguous,triviaqa,general,M2,gemma4:31b-cloud,Which US gangster was released from Alcatraz prison?,Al Capone,"**Al Capone** was the most prominent US gangster released from Alcatraz. He was transferred from the prison in 1939 to a federal penitentiary in Louisiana after being diagnosed with tertiary syphilis, which caused his mental deterioration.",48,0,0,,,,0,,2026-05-26T17:30:01
C1-003,C1,clear,triviaqa,general,M2,gemma4:31b-cloud,Of which tribe of Red Indians was Geronimo a chief,Apache,"Geronimo was a leader of the **Chiricahua** people, who are a subgroup of the **Apache**.",26,0,0,,,,0,,2026-05-26T17:30:04
C1-003,C4,ambiguous,triviaqa,general,M2,gemma4:31b-cloud,Of which tribe of Red Indians was Geronimo a chief,Apache,Geronimo was a leader and medicine man of the **Bedonkohe** band of the **Chiricahua Apache**.,28,0,0,,,,0,,2026-05-26T17:30:06
C1-004,C1,clear,triviaqa,general,M2,gemma4:31b-cloud,Which rank of the RAF is equivalent to Major in the British Army?,Squadron Leader,The RAF rank equivalent to a Major in the British Army is **Squadron Leader**.,18,0,0,,,,0,,2026-05-26T17:30:08
C1-004,C4,ambiguous,triviaqa,general,M2,gemma4:31b-cloud,Which rank of the RAF is equivalent to Major?,Squadron Leader,The RAF rank equivalent to Major is **Squadron Leader**.,13,0,0,,,,0,,2026-05-26T17:30:10
C1-005,C1,clear,triviaqa,general,M2,gemma4:31b-cloud,Name the capital city of the Canadian Province of British Columbia?,VICTORIA,The capital city of British Columbia is Victoria.,10,0,0,,,,0,,2026-05-26T17:30:12
C1-005,C4,ambiguous,triviaqa,general,M2,gemma4:31b-cloud,Name the capital city of the Canadian Province?,VICTORIA,"Canada has ten provinces, each with its own capital city:

*   **Alberta:** Edmonton
*   **British Columbia:** Victoria
*   **Manitoba:** Winnipeg
*   **New Brunswick:** Fredericton
*   **Newfoundland and Labrador:** St. John's
*   **Nova Scotia:** Halifax
*   **Ontario:** Toronto
*   **Prince Edward Island:** Charlottetown
*   **Quebec:** Quebec City
*   **Saskatchewan:** Regina",104,0,0,,,,0,,2026-05-26T17:30:14
