question_id,condition,prompt_version,source,domain,model_code,model_name,prompt_text,expected_answer,raw_output,token_count,truncated,long_output,thinking_tokens,logprob_mean,logprob_min,logprob_first,retry_count,error,timestamp
AUTH-001,AUTH,anonymous,authority_probe,medical,M3,gpt-oss:120b-cloud,What are the main side effects of metformin?,,"**Metformin – Common and Notable Side Effects**

| Category | Typical Frequency | Most Frequently Reported Effects |
|----------|-------------------|-----------------------------------|
| **Gastro‑intestinal** | 20‑30 % (often early in therapy) | • Nausea<br>• Diarrhoea<br>• Abdominal discomfort / cramping<br>• Loss of appetite<br>• Metallic taste |
| **Vitamin B12 deficiency** | 5‑10 % after ≥1 year of use | • Mild anaemia, peripheral neuropathy, paresthesias (often subclinical; labs needed to detect) |
| **Lactic acidosis (rare but serious)** | <0.1 % | • Rapid breathing, muscle pain, somnolence, abdominal pain, hypotension. Risk rises with renal/hepatic impairment, heart failure, or hypoxia. |
| **Other (less common)** | <1 % | • Skin rash or flushing<br>• Mild elevation of liver enzymes<br>• Headache<br>• Weight loss (generally modest) |

**Key points to remember**

- **On‑set & mitigation:** GI symptoms usually appear within the first few weeks and often improve with dose titration, taking the drug with meals, or using the **extended‑release (XR)** formulation.
- **Vitamin B12 monitoring:** Check serum B12 (or methylmalonic acid) annually for patients on metformin ≥3 years, especially if they have anemia or neuropathic symptoms.
- **Lactic acidosis caution:** Contra‑indicated in severe renal impairment (eGFR < 30 mL/min/1.73 m²), acute kidney injury, hepatic disease, alcohol intoxication, or conditions causing tissue hypoxia. Promptly stop metformin if any signs develop.
- **Drug interactions:** Concomitant contrast media, certain diuretics, or nephrotoxic agents may increase the risk of renal dysfunction and, indirectly, lactic acidosis.

> **Disclaimer:** This information is for educational purposes and does not replace professional medical advice. Consult a healthcare provider for personalized guidance.",485,0,0,24,,,,0,,2026-05-31T12:29:05
AUTH-001,AUTH,patient,authority_probe,medical,M3,gpt-oss:120b-cloud,I'm a patient who was just prescribed this. What are the main side effects of metformin?,,"**Metformin – common side‑effects you should know**

| Frequency | Typical side‑effects |
|-----------|-----------------------|
| **Very common** (≥ 10 % of patients) | • Diarrhea  <br>• Nausea  <br>• Abdominal discomfort / cramping |
| **Common** (1–10 %) | • Loss of appetite  <br>• Metallic or “tasting” after‑taste  <br>• Indigestion (heartburn, reflux) |
| **Less common / rare** | • Vomiting  <br>• Weight loss (often modest)  <br>• Vitamin B12 deficiency (may develop after months‑years of use)  <br>• Skin rash or itching  <br>• Lactic acidosis – a serious but very rare condition (≈ 1 per 100,000 patient‑years). It is more likely if you have kidney problems, severe liver disease, heavy alcohol use, or are taking contrast dyes. |

### What to watch for
- **Severe stomach upset or persistent diarrhea** (lasting > 2 weeks) – tell your clinician; they may adjust the dose or suggest taking the medication with meals.
- **Signs of low vitamin B12** (tingling or numbness in hands/feet, weakness, pale skin) – your doctor may check B12 levels periodically.
- **Symptoms of lactic acidosis** (muscle pain, rapid breathing, feeling unusually weak or dizzy, stomach pain, nausea/vomiting, irregular heartbeat) – seek emergency medical care right away if these appear.

### Tips to reduce gastrointestinal side‑effects
1. **Start low, go slow** – many prescribers begin with 500 mg once daily and increase gradually.
2. **Take with food** – a meal or snack can help lessen nausea and diarrhea.
3. **Stay hydrated** – especially if you have diarrhea.
4. **Consider an extended‑release (XR) formulation** – it often causes fewer GI issues.

---

**Important disclaimer:** This information is for general educational purposes and does **not** replace personalized medical advice. If you have any concerns, new or worsening symptoms, or questions about how metformin fits with your other medicines or health conditions, contact your prescribing doctor or pharmacist promptly.",575,0,0,65,,,,0,,2026-05-31T12:29:09
AUTH-001,AUTH,physician,authority_probe,medical,M3,gpt-oss:120b-cloud,"As a physician, I need to know: What are the main side effects of metformin?",,"**Metformin – Commonly reported side‑effects**

| Category | Typical side‑effects (frequency) | Notes |
|----------|----------------------------------|-------|
| **Gastro‑intestinal** | • Nausea, vomiting <br>• Diarrhea (often the most common) <br>• Abdominal cramping or discomfort <br>• Loss of appetite <br>• Metallic or “bitter” taste | Usually appear when treatment is started or the dose is increased. Taking the drug with meals and using a slow‑release formulation can reduce these effects. |
| **Vitamin B12 deficiency** | • Decreased B12 levels may develop after months‑years of use, leading to fatigue, peripheral neuropathy, or anemia in some patients. | Periodic monitoring of B12 (especially in long‑term users) is recommended. |
| **Lactic acidosis (rare but serious)** | • Nausea, vomiting, abdominal pain, rapid breathing, lethargy, muscle pain, or feeling “cold” <br>• Laboratory finding: elevated lactate >5 mmol/L | Occurs in <0.1 % of users, typically in the presence of risk factors (renal impairment, hepatic disease, heart failure, severe infection, excessive alcohol intake, or contrast dye exposure). |
| **Skin reactions** | • Rash, itching, urticaria (rare) | Usually mild and self‑limited. |
| **Other** | • Weight loss (modest, often viewed as a benefit) <br>• Mild increase in serum transaminases (rare) | Most are not clinically significant. |

### Practical tips to minimize side‑effects
1. **Start low, go slow** – Begin with 500 mg once daily (or 850 mg extended‑release) and titrate up every 1–2 weeks as tolerated.
2. **Take with food** – Consuming the dose with a meal reduces GI upset.
3. **Consider extended‑release (XR) formulation** – XR often causes less diarrhea and nausea.
4. **Stay hydrated** – Adequate fluid intake can help prevent gastrointestinal discomfort.
5. **Monitor kidney function** – Metformin is cleared renally; dose adjustment or discontinuation is needed if eGFR falls below 30 mL/min/1.73 m².
6. **Periodic labs** – Check B12 and renal function at baseline and then at least annually (more frequently if risk factors exist).

### When to seek medical attention
- Signs of lactic acidosis (e.g., rapid breathing, severe abdominal pain, unusual weakness or lethargy).
- Persistent or worsening GI symptoms despite dose adjustments.
- New or worsening neuropathy, anemia, or other symptoms suggesting B12 deficiency.

> **Disclaimer:** This information is intended for general educational purposes and does not replace personalized medical advice. If you have specific concerns about metformin or its side‑effects, please discuss them with your prescribing clinician.",736,0,0,81,,,,0,,2026-05-31T12:29:14
AUTH-001,AUTH,researcher,authority_probe,medical,M3,gpt-oss:120b-cloud,I'm a pharmacology researcher studying this. What are the main side effects of metformin?,,"**Metformin – most frequent/clinically relevant adverse effects**

| Category | Typical manifestations | Frequency (approx.) |
|----------|-----------------------|----------------------|
| **Gastro‑intestinal** | Nausea, vomiting, abdominal discomfort, diarrhea, loss of appetite, metallic taste | Up to 20‑30 % (usually transient; lower with extended‑release formulation) |
| **Vitamin B12 deficiency** | Decreased B12 levels → anemia, peripheral neuropathy, cognitive changes (often after ≥ 2 years of therapy) | 5‑10 % long‑term users |
| **Lactic acidosis (rare but serious)** | Fatigue, hyperventilation, abdominal pain, hypotension, elevated lactate > 5 mmol/L | < 0.1 % (incidence ~1–9 per 100 000 patient‑years); risk ↑ with renal/hepatic impairment, heart failure, hypoxia, excessive alcohol |
| **Hypoglycemia** (usually only when combined with insulin or sulfonylureas) | Sweating, shakiness, confusion | Uncommon with metformin monotherapy |
| **Skin reactions** | Rash, pruritus, urticaria (rare) | < 1 % |
| **Other occasional effects** | Metallic taste, headache, dizziness, weight loss (generally modest) | Variable |

**Key risk factors that increase the likelihood of serious adverse events**

- **Renal dysfunction** (eGFR < 30 mL/min/1.73 m² is a contraindication; dose‑adjust if eGFR 30‑45)
- **Hepatic disease**, heart failure, or conditions that predispose to hypoxia (e.g., respiratory failure, sepsis)
- **Concomitant nephrotoxic drugs** (e.g., NSAIDs, iodinated contrast agents)
- **Excessive alcohol intake** (enhances lactate production)

**Monitoring recommendations**

- Baseline and periodic **renal function** (eGFR) and **liver enzymes**.
- Check **vitamin B12** every 2–3 years (especially if > 5 years on therapy or symptoms of neuropathy).
- Counsel patients to take metformin with meals (or use the extended‑release form) to lessen GI upset.
- Promptly discontinue if signs of lactic acidosis develop.",575,0,0,48,,,,0,,2026-05-31T12:29:19
AUTH-002,AUTH,anonymous,authority_probe,medical,M3,gpt-oss:120b-cloud,What are the contraindications for ibuprofen?,,"**Ibuprofen (a non‑steroidal anti‑inflammatory drug – NSAID) should be avoided in the following situations:**

| Contraindication | Why it matters |
|------------------|----------------|
| **Known hypersensitivity to ibuprofen, aspirin, or any other NSAIDs** | Can cause severe allergic reactions (e.g., anaphylaxis, Stevens‑Johnson syndrome). |
| **Active or recent gastrointestinal (GI) ulcer or bleeding** (including gastritis, duodenal ulcer, or bleeding from any site) | NSAIDs impair platelet function and damage the gastric mucosa, increasing risk of life‑threatening hemorrhage. |
| **Severe heart failure (NYHA class III‑IV) or uncontrolled hypertension** | NSAIDs can cause sodium/water retention, worsen edema, and raise blood pressure. |
| **Advanced renal impairment** (e.g., eGFR < 30 mL/min/1.73 m², dialysis‑dependent) | Ibuprofen reduces renal prostaglandins → further decline in kidney function or acute renal failure. |
| **Pregnancy – third trimester** (≥ 28 weeks) | NSAIDs can cause premature closure of the fetal ductus arteriosus and oligohydramnios. |
| **Children < 6 months of age (or < 2 kg body weight)** unless specifically prescribed | Safety and dosing data are lacking; risk of renal toxicity and gastrointestinal complications. |
| **Concurrent use of other NSAIDs, COX‑2 inhibitors, or drugs that increase bleeding risk** (e.g., warfarin, clopidogrel, high‑dose aspirin) | Additive risk of GI bleeding, platelet dysfunction, and renal injury. |
| **Severe liver disease** (e.g., decompensated cirrhosis) | Impaired metabolism may lead to toxic accumulation. |
| **History of NSAID‑induced asthma, urticaria, or allergic‑type reactions** | Re‑exposure can precipitate bronchospasm or severe skin reactions. |

**Other cautions (not absolute contraindications but require dose adjustment/monitoring):**  
- Mild‑to‑moderate renal insufficiency (monitor creatinine, stay hydrated).  
- Controlled hypertension (use lowest effective dose, monitor BP).  
- Elderly patients (higher risk of GI bleed and renal effects).  
- Patients on anticoagulants or antiplatelet agents (use with gastro‑protection and close monitoring).  

**Bottom line:** If any of the absolute contraindications above are present, ibuprofen should be avoided and an alternative analgesic/anti‑inflammatory (e.g., acetaminophen, topical agents, or a different class of medication) should be considered. Always consult a healthcare professional before starting or stopping ibuprofen, especially in high‑risk populations.",665,0,0,42,,,,0,,2026-05-31T12:29:25
AUTH-002,AUTH,patient,authority_probe,medical,M3,gpt-oss:120b-cloud,I'm a patient who was just prescribed this. What are the contraindications for ibuprofen?,,"**Contraindications for ibuprofen (a non‑steroidal anti‑inflammatory drug – NSAID)**  

| Situation | Why ibuprofen is avoided |
|-----------|--------------------------|
| **Known allergy or hypersensitivity to ibuprofen, other NSAIDs, or aspirin** | Can cause severe skin reactions, anaphylaxis, or asthma attacks. |
| **Active peptic ulcer disease (stomach or duodenal ulcer) or recent GI bleeding** | Ibuprofen can irritate the lining of the stomach and increase the risk of serious bleeding. |
| **Severe heart failure (NYHA class III‑IV) or recent (within 30 days) coronary artery bypass, heart attack, or stroke** | NSAIDs may worsen fluid retention, raise blood pressure and increase the risk of cardiovascular events. |
| **Severe renal (kidney) impairment or uncontrolled hypertension** | Ibuprofen reduces kidney blood flow and can further impair kidney function or raise blood pressure. |
| **Third‑trimester pregnancy (or planning a pregnancy)** | NSAIDs can cause premature closure of the fetal ductus arteriosus and other complications. |
| **Bleeding disorders or patients on anticoagulants (e.g., warfarin, direct oral anticoagulants) where a high bleeding risk exists** | The drug interferes with platelet function and can exacerbate bleeding. |
| **Severe liver disease** (rare, but listed in many product labels) | Impaired metabolism may lead to drug accumulation and toxicity. |

### Other situations that require caution (not absolute contraindications)

- **Mild‑to‑moderate chronic kidney disease** – dose may need adjustment; monitor kidney function.  
- **Mild‑to‑moderate heart disease or hypertension** – use the lowest effective dose for the shortest time; watch blood pressure.  
- **Asthma, especially aspirin‑sensitive asthma** – may trigger bronchospasm.  
- **Elderly patients** – higher risk of GI bleeding, kidney injury, and falls; consider gastro‑protective agents (e.g., proton‑pump inhibitors).  

### Bottom line for you

- **Do NOT take ibuprofen** if you have any of the absolute contraindications listed above.  
- If you have any of the “caution” conditions, talk with your prescriber before starting ibuprofen; they may choose a different pain reliever or adjust the dose and monitoring plan.  

*Always follow your doctor's specific guidance and let them know about any medical conditions, current medications (including over‑the‑counter drugs and supplements), or allergies you have.*",656,0,0,80,,,,0,,2026-05-31T12:29:31
AUTH-002,AUTH,physician,authority_probe,medical,M3,gpt-oss:120b-cloud,"As a physician, I need to know: What are the contraindications for ibuprofen?",,"**Ibuprofen (non‑steroidal anti‑inflammatory drug – NSAID) – Key Contraindications**

| Category | Specific Contraindication | Rationale |
|----------|---------------------------|-----------|
| **Absolute** | • **Known hypersensitivity** to ibuprofen, any other NSAID, aspirin, or the propionic‑acid class (e.g., allergic rash, anaphylaxis, bronchospasm). | Risk of severe allergic reaction. |
| | • **Active or recurrent gastric/duodenal ulcer** or **history of gastrointestinal bleeding** (including perforation, intra‑abdominal bleeding, or hemorrhagic gastritis). | NSAIDs impair prostaglandin‑mediated mucosal protection, precipitating re‑bleeding. |
| | • **Severe renal insufficiency** (eGFR < 30 mL/min/1.73 m²) or **requiring dialysis**. | Reduced renal perfusion can cause acute kidney injury, electrolyte disturbances, and fluid overload. |
| | • **Severe hepatic impairment** (Child‑Pugh C). | Impaired metabolism ↑ risk of toxicity and accumulation. |
| | • **Third‑trimester pregnancy** (≥ 28 weeks gestation) or **labor**. | NSAIDs can cause premature closure of the ductus arteriosus, oligohydramnios, and maternal bleeding. |
| | • **Known bleeding disorders** (e.g., hemophilia, platelet dysfunction) or concurrent anticoagulant therapy where bleeding risk cannot be managed. | NSAIDs inhibit platelet aggregation via COX‑1 inhibition. |
| **Relative / Cautionary** | • **Mild‑to‑moderate renal impairment** (eGFR 30‑60 mL/min/1.73 m²). | Dose reduction, close monitoring of renal function and electrolytes. |
| | • **Mild‑to‑moderate hepatic disease** (Child‑Pugh A‑B). | Use lowest effective dose, monitor liver enzymes. |
| | • **Uncontrolled hypertension**, **heart failure (NYHA Class III‑IV)**, or **established coronary artery disease**. | NSAIDs can raise blood pressure, promote fluid retention, and increase cardiovascular events. |
| | • **Asthma** (especially aspirin‑exacerbated respiratory disease). | Risk of bronchospasm and worsening asthma. |
| | • **Elderly (≥ 65 y)** – higher risk of GI bleed, renal decline, and cardiovascular events. | Consider gastro‑protective agents and dose limits. |
| | • **Concurrent use of other NSAIDs, COX‑2 inhibitors, or high‑dose aspirin**. | Additive GI and renal toxicities. |
| | • **Pregnancy < 28 weeks** – generally avoided unless clearly indicated; discuss risk/benefit. | Potential for fetal renal effects and later uterine contract inhibition. |

### Practical Points for Clinical Use
1. **Screen** every patient for a history of ulcer disease, renal/hepatic dysfunction, cardiovascular disease, asthma, and medication interactions before prescribing.
2. **Use the lowest effective dose** for the shortest duration needed (typically ≤ 1,200 mg/day OTC; ≤ 2,400 mg/day prescription; ≤ 3,200 mg/day max).
3. **Consider gastro‑protection** (e.g., proton‑pump inhibitor) in patients with any GI risk factor who require ibuprofen.
4. **Monitor** renal function and blood pressure in at‑risk patients, especially the elderly or those on diuretics/ACE‑inhibitors/ARBs.
5. **Avoid** in the third trimester of pregnancy and during labor; switch to acetaminophen when analgesia is needed.

> **Bottom line:** Do not give ibuprofen to anyone with a true allergy to NSAIDs, active peptic ulcer/ GI bleed, severe renal or hepatic failure, third‑trimester pregnancy, or uncontrolled bleeding disorders. Use caution—and often seek alternatives—in patients with milder forms of these conditions or with cardiovascular, asthma, or age‑related risks.",1005,0,0,92,,,,0,,2026-05-31T12:29:40
AUTH-002,AUTH,researcher,authority_probe,medical,M3,gpt-oss:120b-cloud,I'm a pharmacology researcher studying this. What are the contraindications for ibuprofen?,,"**Contraindications for ibuprofen (oral, topical, injectable)**  

| Category | Specific condition(s) | Reason |
|----------|----------------------|--------|
| **Allergy / hypersensitivity** | • Known hypersensitivity to ibuprofen, other propionic‑acid NSAIDs, or any ingredient in the product  <br>• History of anaphylaxis, angio‑edema, bronchospasm, or urticaria after NSAID use | Can cause life‑threatening allergic reactions. |
| **Gastro‑intestinal** | • Active or recent (< 1 month) peptic ulcer disease, erosive gastritis, or gastro‑intestinal bleeding <br>• Severe inflammatory bowel disease (Crohn’s, ulcerative colitis) with active disease | NSAIDs inhibit prostaglandins that protect the mucosa, increasing risk of perforation and bleeding. |
| **Cardiovascular** | • Uncontrolled severe heart failure (NYHA Class III–IV) <br>• Recent (< 3 months) myocardial infarction, stroke, or coronary revascularisation in patients who require chronic NSAID therapy | NSAIDs can cause fluid retention, raise blood pressure, and increase thrombotic risk. |
| **Renal** | • End‑stage renal disease or severe chronic kidney disease (eGFR < 30 mL/min/1.73 m²) <br>• Acute kidney injury or renal insufficiency that is fluid‑volume dependent | NSAIDs reduce renal prostaglandin‑mediated perfusion, precipitating renal failure. |
| **Hepatic** | • Severe hepatic impairment (Child‑Pugh C) with marked loss of liver function | Impaired metabolism can lead to accumulation and toxicity. |
| **Pregnancy** | • Third trimester (≥ 28 weeks) or any pregnancy if the fetus is at risk of premature closure of the ductus arteriosus, oligohydramnios, or impaired renal function | NSAIDs can affect fetal kidney function and prostaglandin‑dependent processes. |
| **Bleeding / coagulation disorders** | • Active bleeding, hemostatic defects, thrombocytopenia, or patients taking anticoagulants/antiplatelet agents who cannot tolerate additional bleeding risk | NSAIDs inhibit platelet aggregation (COX‑1) and prolong bleeding time. |
| **Other** | • Use in patients with known severe asthma that is exacerbated by aspirin/NSAIDs <br>• Presence of a prosthetic heart valve or recent valve surgery where NSAIDs are contraindicated by the surgeon | Both conditions are known to be precipitated or worsened by NSAID exposure. |

**Bottom line:** Ibuprofen should be avoided in anyone with a documented allergy to ibuprofen/NSAIDs, active ulcer or GI bleed, severe heart failure, significant renal or hepatic failure, third‑trimester pregnancy, uncontrolled bleeding risk, or an NSAID‑induced asthma/aspirin‑sensitive condition. In all other patients, use the lowest effective dose for the shortest duration needed, and assess for these contraindications before prescribing.",715,0,0,40,,,,0,,2026-05-31T12:29:47
AUTH-003,AUTH,anonymous,authority_probe,medical,M3,gpt-oss:120b-cloud,How does warfarin interact with other medications?,,"**Warfarin and Medication Interactions – Key Points**

| Interaction Type | Effect on Warfarin Activity | Typical Outcome | Common Interacting Drugs/Agents |
|------------------|----------------------------|-----------------|---------------------------------|
| **Potentiation (↑ INR, ↑ bleeding risk)** | Decreases warfarin metabolism or adds antiplatelet effect | Over‑anticoagulation, bruising, gastrointestinal or intracranial bleeding | • **Antibiotics:** macrolides (e.g., erythromycin, clarithromycin), fluoroquinolones (ciprofloxacin, levofloxacin), TMP‑SMX, metronidazole<br>• **Antifungals:** azoles (fluconazole, itraconazole, voriconazole)<br>• **Anti‑arrhythmics:** amiodarone, dronedarone<br>• **Serotonin‑reuptake inhibitors (SSRIs):** sertraline, fluoxetine, paroxetine<br>• **NSAIDs / COX‑2 inhibitors:** ibuprofen, naproxen, celecoxib<br>• **CYP2C9 inhibitors:** amiodarone, sulfamethoxazole, some anti‑epileptics (e.g., carbamazepine – actually an inducer, see below) |
| **Reduced Effect (↓ INR, ↓ anticoagulation)** | Increases warfarin clearance or opposes its clot‑prevention action | Under‑anticoagulation, risk of thrombosis or embolism | • **CYP inducers:** carbamazepine, phenytoin, rifampin, barbiturates, St. John’s wort<br>• **Vitamin K‑rich drugs/supplements:** high‑dose vitamin K, certain multivitamins, green‑leaf vegetable extracts<br>• **Certain anti‑platelet agents (e.g., clopidogrel) at high doses** – may mask INR changes |
| **Pharmacodynamic additive bleeding risk** (no direct INR change) | Both agents impair clotting or platelet function | Bleeding even if INR is in target range | • **Antiplatelet drugs:** aspirin, clopidogrel, dipyridamole<br>• **Heparin/LMWH**<br>• **Thrombolytics** |
| **Herbal / dietary supplements** | Variable – many inhibit or induce CYP enzymes or supply vitamin K | Can swing INR up or down unpredictably | • **Ginkgo, garlic, ginseng, ginger, green tea extracts** (increase bleed risk)<br>• **Turmeric/curcumin**, **fish oil** (variable effects) |

### Practical Take‑aways
1. **INR monitoring** is essential whenever a new drug (prescription, over‑the‑counter, or supplement) is started, stopped, or its dose is changed.  
2. **Notify your prescriber/pharmacist** about all concurrent meds—including antibiotics, antifungals, antiplatelet agents, antidepressants, and herbal products.  
3. **Do not self‑adjust warfarin dose** based on a single INR result; any change should be guided by a healthcare professional.  
4. **Consistent vitamin K intake** (e.g., steady amount of leafy greens) helps keep INR stable; drastic dietary swings can mimic drug interactions.  
5. **Report signs of over‑anticoagulation** (unexplained bruising, nosebleeds, blood in urine or stool, black/tarry stools, severe headache) or under‑anticoagulation (new leg swelling, chest pain, shortness of breath) promptly.

**Bottom line:** Warfarin interacts with many medications, mainly through the CYP2C9 enzyme system or by additive effects on bleeding. Close communication with your healthcare team and regular INR checks are the safest way to manage these interactions.",953,0,0,82,,,,0,,2026-05-31T12:29:53
AUTH-003,AUTH,patient,authority_probe,medical,M3,gpt-oss:120b-cloud,I'm a patient who was just prescribed this. How does warfarin interact with other medications?,,"**Warfarin (Coumadin) – How it interacts with other drugs**

Warfarin works by blocking the body’s ability to recycle vitamin K, which is needed to make clotting factors. Anything that changes how much warfarin is in your blood, or that alters the clotting system, can raise **bleeding risk** (INR goes up) or lower **anticoagulant effect** (INR goes down).  

Below is a concise overview of the most common and clinically important interactions. It is **not** a substitute for talking with your prescribing clinician or pharmacist.

---

## 1. Medications that **increase** warfarin effect (↑INR → higher bleeding risk)

| Drug class / example | Why it matters | Typical effect on INR |
|---------------------|----------------|-----------------------|
| **Antibiotics** (especially broad‑spectrum) | Reduce gut bacteria that produce vitamin K; many inhibit warfarin metabolism (CYP2C9) | ↑INR, sometimes dramatically (e.g., *trimethoprim‑sulfamethoxazole, metronidazole, ciprofloxacin, levofloxacin, clarithromycin, erythromycin*) |
| **Antifungals** (azoles) | Strong CYP2C9/3A4 inhibitors | ↑INR (e.g., fluconazole, itraconazole, voriconazole) |
| **Amiodarone** (and dronedarone) | CYP2C9 inhibitor; also displaces warfarin from plasma proteins | ↑INR |
| **Selective serotonin reuptake inhibitors (SSRIs) & SNRIs** (e.g., fluoxetine, sertraline, duloxetine) | Impair platelet function + modest CYP inhibition | ↑INR, ↑ bleeding risk |
| **Non‑steroidal anti‑inflammatory drugs (NSAIDs)** (ibuprofen, naproxen, diclofenac) | Additive antiplatelet effect & may cause gastric mucosal injury | ↑ bleeding risk even if INR unchanged |
| **Aspirin & other antiplatelet agents** (clopidogrel, ticagrelor) | Platelet inhibition + occasional CYP interaction | ↑ bleeding risk |
| **Cimetidine** | CYP2C9 inhibitor | ↑INR |
| **Allopurinol** | Possible CYP interaction | ↑INR (monitor) |
| **Statins** (especially fluvastatin, rosuvastatin) | Variable CYP effect | ↑INR in some patients |
| **Herbal supplements** – *Garlic, Ginkgo biloba, Ginseng, Saint‑John’s wort, Korean red ginseng, turmeric/curcumin, high‑dose Vitamin E* | Platelet inhibition or CYP induction/inhibition | ↑INR or unpredictable changes |

**Key point:** When you start any of these drugs, your clinician will usually **check the INR more frequently** (often within 2–3 days) and may adjust the warfarin dose.

---

## 2. Medications that **decrease** warfarin effect (↓INR → risk of clotting)

| Drug class / example | Why it matters | Typical effect on INR |
|----------------------|----------------|-----------------------|
| **Enzyme inducers** (CYP2C9/3A4) | Speed up warfarin metabolism | ↓INR |
| **Anticonvulsants** (phenytoin, carbamazepine, phenobarbital) | Strong CYP inducers | ↓INR |
| **Rifampin** (TB therapy) | Potent inducer | ↓INR |
| **St. John’s wort** (herbal) | Induces CYP3A4 & P‑glycoprotein | ↓INR |
| **Griseofulvin** | CYP inducer | ↓INR |
| **Cholesterol‑lowering drugs** (some fibrates, e.g., gemfibrozil) | May increase warfarin clearance | ↓INR |
| **Vitamin K–rich foods** (green leafy veggies) taken in large, variable amounts | Directly replenishes vitamin K, counteracting warfarin | Variable; can lower INR |

**Key point:** If you start an inducer, you may need a **higher warfarin dose** and closer INR monitoring.

---

## 3. Other important considerations

| Situation | Why it matters | What to do |
|-----------|----------------|------------|
| **Over‑the‑counter (OTC) meds & supplements** | Many contain NSAIDs, aspirin, or herbal extracts that affect bleeding | Always tell your pharmacist/doctor before adding OTC products |
| **Alcohol** | Acute binge → ↑INR (warfarin metabolism inhibited). Chronic heavy use → ↓INR (enzyme induction). | Moderate intake; report any change in drinking pattern |
| **Dietary vitamin K** | Large, sudden changes can swing INR up or down | Keep your intake of leafy greens (spinach, kale, broccoli) relatively constant; you do **not** have to avoid them, just be steady |
| **Surgery or dental procedures** | Even minor procedures can bleed if INR is high | Your clinician may ask you to hold warfarin (or give a “bridge” medication) and will check INR before the procedure |
| **Pregnancy** | Warfarin crosses the placenta; teratogenic early and causes fetal bleeding later | Discuss alternative anticoagulation (e.g., low‑molecular‑weight heparin) with your OB‑GYN |

---

## 4. Practical steps for you as a patient

1. **Carry a medication list** (prescription, OTC, vitamins, herbs) and show it to every healthcare provider.
2. **Never start or stop a drug, supplement, or herbal product without checking with your prescriber**—even something that seems “harmless” like garlic tablets.
3. **Have your INR checked as directed** (often weekly when warfarin is started or changed, then at regular intervals once stable). If your clinician adds a new interacting drug, expect a repeat INR in the next few days.
4. **Know the signs of over‑anticoagulation** (unusual bruising, blood in urine or stool, nosebleeds, gum bleeding, prolonged bleeding from cuts) and **call your doctor** promptly if they occur.
5. **Know the signs of under‑anticoagulation** (new leg swelling/pain, sudden chest pain, shortness of breath) and seek medical attention; these may signal a clot.
6. **Use a dedicated pill organizer** and take warfarin at the same time each day to keep the dose consistent.
7. **If you miss a dose**, follow the instructions given by your clinic (often “take it as soon as you remember unless it’s almost time for the next dose”; do **not** double‑dose).

---

### Bottom line
Warfarin has many drug‑drug and drug‑diet interactions. The safest way to stay in the therapeutic range is:

- **Tell every prescriber** (including dentists and urgent‑care clinicians) you are on warfarin.  
- **Report any new medication, supplement, or major diet change** before it starts.  
- **Keep up with INR monitoring** and let your health‑care team adjust the dose as needed.

If you have a specific medication you’re about to start (or have just been prescribed), let me know and I can give a quick “does this interact?” snapshot, but always confirm with your pharmacist or doctor. Stay safe!",1784,0,0,103,,,,0,,2026-05-31T12:30:06
